0,1,2,3,4,5,6,7,8,class
-0.535354,-0.0214228,-0.125,0.0140301,-0.307692,0.0256049,-0.0196078,0.287319,0.215434,2.0
-0.434343,-0.0256669,0.109375,0.0140301,-0.397436,0.0275318,0.0980392,0.428571,0.324759,4.0
-0.474747,-0.0256669,-0.046875,0.0140301,-0.230769,0.0252344,0.00653595,0.229535,0.151125,1.0
-0.79798,-0.0256669,-0.140625,0.0140301,-0.307692,0.0269389,0.150327,0.287319,0.170418,1.0
-0.79798,-0.0256669,-0.09375,0.0140301,-0.288462,0.0236781,0.189542,0.280899,0.151125,1.0
0.171717,-0.0256669,0.046875,0.0130004,-0.378205,0.025679,-0.333333,0.399679,0.401929,5.0
-0.414141,-0.0256669,-0.0625,0.0140301,-0.410256,0.0264201,-0.0457516,0.40931,0.344051,4.0
-0.434343,-0.025869,0.15625,0.0132578,-0.224359,0.0253085,0.150327,0.264848,0.151125,1.0
-0.474747,-0.0240501,-0.125,0.0140301,-0.307692,0.0256049,-0.0718954,0.287319,0.221865,4.0
-0.79798,-0.0256669,0.25,0.0122281,-0.307692,0.0256049,0.464052,0.367576,0.170418,1.0
-0.79798,-0.0256669,-0.109375,0.0135153,-0.358974,0.0256049,0.176471,0.341894,0.221865,1.0
-0.636364,-0.0256669,-0.015625,0.0140301,-0.25,0.0270871,0.124183,0.252006,0.144695,1.0
-0.777778,-0.0252627,-0.125,0.0140301,-0.275641,0.0261237,0.137255,0.255217,0.144695,1.0
-0.79798,-0.0256669,-0.109375,0.0140301,-0.403846,0.0259755,0.163399,0.393258,0.273312,1.0
-0.717172,-0.0256669,0.234375,0.0140301,-0.275641,0.025012,0.398693,0.329053,0.151125,1.0
-0.717172,-0.0256669,0.0625,0.0142876,-0.275641,0.0244192,0.254902,0.29374,0.151125,1.0
-0.59596,-0.0256669,0.0,0.0135153,-0.25,0.0253085,0.124183,0.258427,0.144695,1.0
-0.555556,-0.0256669,-0.09375,0.0140301,-0.25,0.0252344,0.0196078,0.235955,0.151125,1.0
-0.555556,-0.0250606,-0.046875,0.0140301,-0.237179,0.0259014,0.0588235,0.239165,0.144695,1.0
-0.79798,-0.0899353,0.3125,0.0135153,-0.282051,0.0253085,0.51634,0.354735,0.144695,1.0
-0.656566,-0.0250606,-0.125,0.0140301,-0.25641,0.0257531,0.0588235,0.239165,0.144695,1.0
0.59596,-0.0252627,0.359375,0.0140301,-0.173077,0.0256049,-0.359477,0.255217,0.26045,5.0
-0.79798,-0.0266774,-0.140625,0.0140301,-0.307692,0.0256049,0.150327,0.287319,0.170418,1.0
-0.555556,-0.0256669,0.234375,0.0140301,-0.237179,0.027013,0.30719,0.29695,0.144695,1.0
-0.636364,-0.025869,0.03125,0.0135153,-0.25641,0.0253085,0.189542,0.271268,0.144695,1.0
-0.79798,-0.0248585,-0.078125,0.0140301,-0.403846,0.0256049,0.189542,0.399679,0.273312,1.0
-0.434343,-0.025869,0.203125,0.0140301,-0.230769,0.0261978,0.176471,0.280899,0.157556,4.0
-0.434343,-0.0256669,0.015625,0.0160896,-0.224359,0.0256049,0.0326797,0.235955,0.144695,1.0
-0.434343,-0.0250606,0.046875,0.0148024,-0.224359,0.0256049,0.0457516,0.239165,0.151125,1.0
-0.79798,-0.0256669,-0.171875,0.0140301,-0.314103,0.0255308,0.124183,0.287319,0.176849,1.0
-0.79798,-0.0256669,0.328125,0.0140301,-0.282051,0.0258273,0.51634,0.354735,0.151125,1.0
-0.555556,-0.0256669,0.34375,0.0140301,-0.25,0.0244192,0.385621,0.325843,0.151125,1.0
0.0505051,-0.0246564,-0.03125,0.0140301,-0.544872,0.0256049,-0.320261,0.550562,0.549839,5.0
-0.515152,-0.0256669,-0.09375,0.0140301,-0.230769,0.0277541,-0.00653595,0.219904,0.144695,1.0
-0.353535,-0.0248585,-0.015625,0.0140301,-0.205128,0.0273836,-0.0457516,0.210273,0.144695,1.0
-0.79798,-0.0256669,0.359375,0.0140301,-0.301282,0.0240486,0.555556,0.380417,0.163987,1.0
-0.414141,-0.0250606,0.1875,0.0140301,-0.25,0.0262719,0.163399,0.29695,0.176849,4.0
-0.757576,-0.0246564,-0.125,0.0140301,-0.275641,0.0256049,0.111111,0.255217,0.144695,1.0
-0.515152,-0.0266774,-0.0625,0.0140301,-0.230769,0.0256049,0.0196078,0.229535,0.144695,1.0
-0.555556,-0.0256669,-0.125,0.0140301,-0.25,0.0249379,0.00653595,0.232745,0.151125,1.0
-0.616162,-0.0252627,-0.125,0.0140301,-0.25641,0.0241968,0.0457516,0.242376,0.151125,1.0
-0.414141,-0.0256669,-0.0625,0.0140301,-0.217949,0.0256049,-0.0588235,0.210273,0.144695,1.0
-0.414141,-0.0256669,-0.09375,0.0140301,-0.346154,0.0258273,-0.0718954,0.335474,0.273312,4.0
-0.79798,-0.0256669,0.3125,0.0140301,-0.288462,0.0259014,0.51634,0.361156,0.157556,1.0
-0.010101,-0.0256669,-0.0625,0.0135153,-0.525641,0.0265683,-0.30719,0.52488,0.524116,5.0
-0.414141,-0.0256669,-0.078125,0.0140301,-0.217949,0.0261237,-0.0588235,0.207063,0.144695,1.0
-0.717172,-0.0252627,-0.140625,0.0140301,-0.262821,0.0264201,0.0849673,0.245586,0.144695,1.0
-0.717172,-0.0254648,0.0,0.0140301,-0.275641,0.0256049,0.202614,0.280899,0.151125,1.0
-0.414141,-0.0264753,0.1875,0.0140301,-0.230769,0.0254567,0.163399,0.277689,0.157556,4.0
-0.555556,-0.0256669,0.15625,0.0142876,-0.237179,0.0257531,0.228758,0.280899,0.144695,1.0
-0.79798,-0.0252627,-0.140625,0.0140301,-0.282051,0.0256049,0.124183,0.258427,0.151125,1.0
-0.414141,-0.0254648,0.21875,0.0140301,-0.237179,0.0267907,0.176471,0.29053,0.170418,4.0
-0.414141,-0.0264753,0.046875,0.0140301,-0.217949,0.0256049,0.0326797,0.232745,0.144695,1.0
